ï»¿Domain,Category,Significance
6868.me,VIP Chinese,High Liquidity / Wealth & Success
8686.me,VIP Chinese,High Liquidity / Wealth & Success
8989.me,VIP Chinese,High Liquidity / Wealth & Success
9898.me,VIP Chinese,High Liquidity / Wealth & Success
6969.me,VIP Chinese,High Liquidity / Wealth & Success
9696.me,VIP Chinese,High Liquidity / Wealth & Success
8080.me,VIP Chinese,High Liquidity / Wealth & Success
6060.me,VIP Chinese,High Liquidity / Wealth & Success
9090.me,VIP Chinese,High Liquidity / Wealth & Success
8181.me,Lucky Double (8-Series),Wealth Multiplier
8282.me,Lucky Double (8-Series),Wealth Multiplier
8383.me,Lucky Double (8-Series),Wealth Multiplier
8585.me,Lucky Double (8-Series),Wealth Multiplier
8787.me,Lucky Double (8-Series),Wealth Multiplier
6161.me,Lucky Double (6-Series),Smooth Success
6262.me,Lucky Double (6-Series),Smooth Success
6363.me,Lucky Double (6-Series),Smooth Success
6565.me,Lucky Double (6-Series),Smooth Success
6767.me,Lucky Double (6-Series),Smooth Success
9191.me,Lucky Double (9-Series),Longevity
9292.me,Lucky Double (9-Series),Longevity
9393.me,Lucky Double (9-Series),Longevity
9595.me,Lucky Double (9-Series),Longevity
9797.me,Lucky Double (9-Series),Longevity
1010.me,Global Acceptance,Tech Identity / Western Recognition
1212.me,Global Acceptance,Tech Identity / Western Recognition
2020.me,Global Acceptance,Tech Identity / Western Recognition
3030.me,Global Acceptance,Tech Identity / Western Recognition
5050.me,Global Acceptance,Tech Identity / Western Recognition
