القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),PEO,10/10,Professional Employer Organization,منظمة أصحاب العمل المهنية (إدارة الموظفين)
الموارد البشرية وتكنولوجيا التوظيف (HRTech),HCM,10/10,Human Capital Management,إدارة رأس المال البشري
الموارد البشرية وتكنولوجيا التوظيف (HRTech),CHRO,9.5/10,Chief Human Resources Officer,الرئيس التنفيذي للموارد البشرية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),VMS,9/10,Vendor Management System,نظام إدارة الموردين (في التوظيف)
الموارد البشرية وتكنولوجيا التوظيف (HRTech),RPO,9.5/10,Recruitment Process Outsourcing,تعهيد عمليات التوظيف
الموارد البشرية وتكنولوجيا التوظيف (HRTech),HRBP,9/10,Human Resources Business Partner,شريك أعمال الموارد البشرية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),DEI,10/10,Diversity Equity Inclusion,التنوع والمساواة والشمول (تريند عالمي)
الموارد البشرية وتكنولوجيا التوظيف (HRTech),DIB,9/10,Diversity Inclusion Belonging,التنوع والشمول والانتماء
الموارد البشرية وتكنولوجيا التوظيف (HRTech),EX,10/10,Employee Experience,تجربة الموظف
الموارد البشرية وتكنولوجيا التوظيف (HRTech),EAP,9.5/10,Employee Assistance Program,برنامج مساعدة الموظفين
الموارد البشرية وتكنولوجيا التوظيف (HRTech),PTO,10/10,Paid Time Off,إجازة مدفوعة الأجر
الموارد البشرية وتكنولوجيا التوظيف (HRTech),WFM,9.5/10,Workforce Management,إدارة القوى العاملة
الموارد البشرية وتكنولوجيا التوظيف (HRTech),HRMS,10/10,Human Resources Management System,نظام إدارة الموارد البشرية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),EVP,9/10,Employee Value Proposition,عرض القيمة للموظف
الموارد البشرية وتكنولوجيا التوظيف (HRTech),KRA,8.5/10,Key Result Area,مجال النتائج الرئيسية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),FTE,9/10,Full-Time Equivalent,مكافئ الدوام الكامل
الموارد البشرية وتكنولوجيا التوظيف (HRTech),TNA,8.5/10,Training Needs Analysis,تحليل الاحتياجات التدريبية
الموارد البشرية وتكنولوجيا التوظيف (HRTech),LND,9/10,Learning and Development,التعلم والتطوير (L&D)
